Player,Nation,Pos,Squad,Comp,Age,GA,GA90,SoTA,Saves,Stp,Stp%,CS,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Recov,Opp,AvgDist,#OPA
Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31.0,4.0,2.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9,0.33,-0.1,-0.04,52.0,6.0,25.0,28.1,4,25.0,16.4,3.0
Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26.0,11.0,2.75,21.0,10.0,8.0,14.5,0.0,2.0,0.0,0.0,8.8,0.35,-2.2,-0.54,86.0,19.0,38.4,34.5,2,55.0,13.3,3.0
Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33.0,54.0,1.69,128.0,74.0,33.0,7.2,10.0,8.0,1.0,1.0,46.2,0.31,-6.8,-0.21,902.0,134.0,42.0,36.0,34,459.0,16.2,53.0
Jean Butez,fr FRA,GK,Como,it Serie A,29.0,20.0,1.08,68.0,48.0,22.0,11.6,5.0,2.0,0.0,0.0,20.1,0.27,0.1,0.0,709.0,92.0,30.2,32.0,43,190.0,18.2,51.0
Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24.0,41.0,1.21,161.0,120.0,39.0,8.3,8.0,2.0,1.0,0.0,43.0,0.26,3.0,0.09,948.0,173.0,22.8,28.6,62,470.0,12.8,33.0
Elia Caprile,it ITA,GK,Cagliari,it Serie A,22.0,22.0,1.22,66.0,44.0,18.0,6.8,5.0,1.0,0.0,0.0,23.5,0.35,1.5,0.08,546.0,93.0,44.1,36.8,16,266.0,15.6,23.0
Elia Caprile,it ITA,GK,Napoli,it Serie A,22.0,1.0,0.28,8.0,7.0,3.0,9.7,3.0,0.0,0.0,0.0,2.2,0.27,1.2,0.32,82.0,9.0,25.6,31.7,3,31.0,13.7,3.0
Dani Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27.0,6.0,1.0,20.0,14.0,2.0,2.5,2.0,0.0,0.0,0.0,5.6,0.29,-0.4,-0.06,132.0,21.0,56.8,44.3,6,79.0,10.2,1.0
Tiago Cardoso,lu LUX,GK,Gladbach,de Bundesliga,18.0,3.0,0.71,23.0,20.0,14.0,14.6,2.0,0.0,0.0,0.0,4.7,0.2,1.7,0.39,148.0,22.0,27.0,29.2,4,96.0,5.6,1.0
Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,32.0,7.0,1.51,28.0,21.0,1.0,1.3,1.0,0.0,0.0,0.0,8.5,0.3,1.5,0.31,99.0,27.0,36.4,34.4,3,80.0,10.9,1.0
